academic_performance,math_level,science_level,english_level,interest_type,study_consistency,problem_solving,focus_time,learning_style,english_comfort,computer_usage,financial_status,target_stream,education_system
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Strong,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Average,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Hands-on,Yes,Regular,High,Science,O-Level
61–75%,Average,Strong,Average,Leadership,Sometimes,Ask Help,30-60,Visual,Somewhat,Occasional,Medium,Commerce,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Strong,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Average,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Hands-on,Yes,Regular,High,Science,O-Level
61–75%,Average,Strong,Average,Leadership,Sometimes,Ask Help,30-60,Visual,Somewhat,Occasional,Medium,Commerce,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
Below 50%,Weak,Average,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
61–75%,Average,Average,Strong,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Average,Leadership,Sometimes,Ask Help,30-60,Hands-on,Somewhat,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Average,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Strong,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Strong,Average,Leadership,Sometimes,Ask Help,30-60,Hands-on,Somewhat,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Average,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
61–75%,Average,Average,Average,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
Below 50%,Weak,Weak,Average,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
61–75%,Average,Strong,Strong,Leadership,Sometimes,Ask Help,30-60,Visual,Yes,Occasional,Medium,Commerce,O-Level
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Hands-on,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Strong,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Average,Leadership,Sometimes,Ask Help,30-60,Hands-on,Somewhat,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Average,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
61–75%,Average,Strong,Average,Reading,Sometimes,Ask Help,30-60,Reading,Yes,Occasional,Medium,Commerce,O-Level
Below 50%,Weak,Weak,Average,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Always,Keep Trying,>1hr,Hands-on,Yes,Regular,High,Science,O-Level
61–75%,Average,Average,Strong,Leadership,Sometimes,Ask Help,30-60,Visual,Somewhat,Occasional,Medium,Commerce,Matric
Below 50%,Weak,Weak,Weak,Creative,Rarely,Avoid,<30,Hands-on,No,Rare,Low,Arts,Matric
Above 75%,Strong,Strong,Average,Technology,Always,Keep Trying,>1hr,Visual,Yes,Regular,High,Science,O-Level
Above 75%,Strong,Strong,Strong,Technology,Almost always,Keep trying,>1 hour,Visual,Yes,Regularly,Can afford tuition,Science,O-Level
61–75%,Average,Average,Strong,Reading/writing,Sometimes,Ask for help,30–60 minutes,Reading,Yes,Occasionally,Limited budget,Commerce,Matric
Below 50%,Weak,Weak,Average,Creative work,Rarely,Avoid it,<30 minutes,Hands-on,No,Rarely,Prefer government system,Arts,Matric
Above 75%,Strong,Strong,Average,Technology,Almost always,Keep trying,>1 hour,Hands-on,Yes,Regularly,Can afford tuition,Science,O-Level
50–60%,Average,Average,Strong,Leadership activities,Sometimes,Ask for help,30–60 minutes,Visual,Somewhat,Occasionally,Limited budget,Commerce,Matric
61–75%,Strong,Strong,Average,Logical games,Almost always,Keep trying,>1 hour,Visual,Yes,Regularly,Can afford tuition,Science,O-Level
Below 50%,Weak,Average,Weak,Creative work,Rarely,Avoid it,<30 minutes,Hands-on,No,Rarely,Prefer government system,Arts,Matric
50–60%,Average,Average,Strong,Reading/writing,Sometimes,Ask for help,30–60 minutes,Reading,Yes,Occasionally,Limited budget,Commerce,Matric
Above 75%,Strong,Strong,Strong,Technology,Almost always,Keep trying,>1 hour,Visual,Yes,Regularly,Can afford tuition,Science,O-Level
61–75%,Average,Average,Average,Leadership activities,Sometimes,Ask for help,30–60 minutes,Hands-on,Somewhat,Occasionally,Limited budget,Commerce,Matric
Below 50%,Weak,Weak,Average,Creative work,Rarely,Avoid it,<30 minutes,Hands-on,No,Rarely,Prefer government system,Arts,Matric
Above 75%,Strong,Strong,Strong,Technology,Almost always,Keep trying,>1 hour,Visual,Yes,Regularly,Can afford tuition,Science,O-Level
61–75%,Average,Average,Strong,Reading/writing,Sometimes,Ask for help,30–60 minutes,Reading,Yes,Occasionally,Limited budget,Commerce,Matric
