previous_system,previous_stream,academic_performance,strong_subject,weak_area,interest_area,study_independence,study_hours,analytical_skill,problem_handling,tuition_access,study_preference,career_clarity,decision_factor,confidence_level,target_stream
O-Level,Pre-Engineering,Good,Math,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
Matric,Commerce,Average,Commerce,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Excellent,Biology,Math,Research,Yes,Yes,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
Matric,Arts,Below Average,Arts,Science,Creative,No,No,Disagree,Avoid,No,Continuous,Not clear,Peer,Not confident,Arts
O-Level,Pre-Engineering,Good,Physics,Writing,Problem solving,Yes,Sometimes,Agree,Keep Trying,Limited,Exams,Somewhat,Career,Confident,Pre-Engineering
O-Level,Pre-Engineering,Good,Math,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
Matric,Commerce,Average,Commerce,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Excellent,Biology,Math,Research,Yes,Yes,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
Matric,Arts,Below Average,Arts,Science,Creative,No,No,Disagree,Avoid,No,Continuous,Not clear,Peer,Not confident,Arts
O-Level,Pre-Engineering,Good,Physics,Writing,Problem solving,Yes,Sometimes,Agree,Keep Trying,Limited,Exams,Somewhat,Career,Confident,Pre-Engineering
Matric,Pre-Medical,Good,Biology,Math,Research,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Commerce,Average,Accounting,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
Matric,Pre-Engineering,Good,Math,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
O-Level,Arts,Average,Arts,Science,Creative,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Not clear,Peer,Unsure,Arts
Matric,Pre-Medical,Excellent,Biology,Math,Research,Yes,Yes,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Pre-Engineering,Good,Physics,Writing,Problem solving,Yes,Sometimes,Agree,Keep Trying,Limited,Exams,Somewhat,Career,Confident,Pre-Engineering
Matric,Commerce,Average,Accounting,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Good,Biology,Math,Research,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
Matric,Arts,Below Average,Arts,Science,Creative,No,No,Disagree,Avoid,No,Continuous,Not clear,Peer,Not confident,Arts
O-Level,Commerce,Average,Accounting,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
Matric,Pre-Engineering,Good,Math,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
O-Level,Commerce,Average,Accounting,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
Matric,Pre-Medical,Excellent,Biology,Math,Research,Yes,Yes,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Arts,Average,Arts,Science,Creative,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Not clear,Peer,Unsure,Arts
Matric,Commerce,Good,Accounting,Math,Business,Yes,Sometimes,Agree,Keep Trying,Yes,Continuous,Clear,Career,Confident,Commerce
O-Level,Pre-Engineering,Average,Physics,Writing,Problem solving,Somewhat,Sometimes,Agree,Ask Help,Limited,Exams,Somewhat,Family,Unsure,Pre-Engineering
Matric,Pre-Medical,Good,Biology,Math,Research,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Commerce,Average,Economics,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
Matric,Arts,Below Average,Arts,Science,Creative,No,No,Disagree,Avoid,No,Continuous,Not clear,Peer,Not confident,Arts
O-Level,Pre-Engineering,Good,Math,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
Matric,Commerce,Average,Accounting,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Good,Biology,Math,Research,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
Matric,Pre-Engineering,Average,Math,Writing,Problem solving,Somewhat,Sometimes,Neutral,Ask Help,Limited,Exams,Somewhat,Career,Unsure,Pre-Engineering
O-Level,Arts,Average,Arts,Science,Creative,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Not clear,Peer,Unsure,Arts
Matric,Pre-Medical,Excellent,Biology,Math,Research,Yes,Yes,Strongly Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Medical
O-Level,Commerce,Good,Accounting,Math,Business,Yes,Sometimes,Agree,Keep Trying,Yes,Continuous,Clear,Career,Confident,Commerce
Matric,Pre-Engineering,Good,Physics,Writing,Problem solving,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
O-Level,Pre-Medical,Average,Biology,Math,Research,Somewhat,Sometimes,Neutral,Ask Help,Limited,Exams,Somewhat,Family,Unsure,Pre-Medical
Matric,Arts,Below Average,Arts,Science,Creative,No,No,Disagree,Avoid,No,Continuous,Not clear,Peer,Not confident,Arts
O-Level,Commerce,Average,Economics,Math,Business,Somewhat,Sometimes,Neutral,Ask Help,Limited,Continuous,Somewhat,Family,Unsure,Commerce
Matric,Pre-Engineering,Average,Commerce,Memorization,Creative,No,Sometimes,Agree,Avoid,Limited,Exams,Clear,Career,Confident,Arts
Matric,Commerce,Excellent,Arts,Science,Creative,No,Yes,Strongly Agree,Ask Help,Limited,Continuous,Clear,Family,Confident,Arts
Matric,Arts,Excellent,Physics,Math,Problem solving,Somewhat,Sometimes,Neutral,Avoid,Yes,Exams,Clear,Family,Not confident,Pre-Engineering
O-Level,Commerce,Average,Commerce,Writing,Business,No,Yes,Agree,Ask Help,Yes,Continuous,Not clear,Career,Confident,Commerce
O-Level,Arts,Excellent,Commerce,Science,Research,Yes,Sometimes,Neutral,Ask Help,No,Continuous,Somewhat,Family,Unsure,Pre-Medical
O-Level,Pre-Engineering,Excellent,Biology,Math,Problem solving,Yes,Sometimes,Agree,Ask Help,Limited,Exams,Clear,Interest,Not confident,Pre-Medical
Matric,Arts,Good,Physics,Math,Research,No,Sometimes,Disagree,Avoid,No,Exams,Not clear,Peer,Not confident,Pre-Medical
O-Level,Pre-Engineering,Below Average,Biology,Writing,Creative,Yes,Yes,Agree,Avoid,Yes,Exams,Somewhat,Interest,Not confident,Pre-Medical
Matric,Arts,Excellent,Biology,Writing,Creative,No,Sometimes,Neutral,Avoid,No,Exams,Clear,Career,Unsure,Pre-Medical
Matric,Commerce,Below Average,Biology,Math,Business,No,Yes,Disagree,Keep Trying,Limited,Continuous,Clear,Family,Not confident,Pre-Medical
Matric,Commerce,Below Average,Commerce,Science,Problem solving,No,Yes,Strongly Agree,Keep Trying,No,Exams,Somewhat,Interest,Unsure,Pre-Engineering
O-Level,Pre-Medical,Below Average,Biology,Writing,Research,Somewhat,Yes,Neutral,Ask Help,Limited,Continuous,Not clear,Career,Not confident,Pre-Medical
Matric,Arts,Excellent,Arts,Math,Business,Somewhat,No,Agree,Keep Trying,No,Exams,Clear,Family,Not confident,Commerce
